id,age,area,floor,max_floor,y
1,117,20.01,1,12,75000
2,538,16.5,5,10,76000
3,102,22.05,12,15,110000
4,352,60.48,3,4,150000
5,379,39.66,1,2,74000
6,90,50.8,6,12,160000
7,125,23.82,6,8,78500
8,172,32.32,1,6,115000
9,536,65.59,4,9,184327
10,465,30.3,2,3,76000
11,48,25.81,1,6,105000
12,712,23.1,1,2,53000
13,0,37.53,6,10,200000
14,490,41.5,3,3,107000
15,281,17.73,4,11,63000
16,357,32.84,4,5,92000
17,60,25.93,2,5,87000
18,113,25.82,1,2,68000
19,72,70.82,5,11,310000
20,444,57.71,8,12,165000
21,343,59.62,2,2,130000
22,287,21.06,7,10,84000
23,364,81.2,10,42,346000
24,89,22.98,4,5,80000
25,631,15.48,2,4,45000
26,24,11.7,1,2,62000
27,21,41.6,12,12,186000
28,341,14.0,2,2,47000
29,100,46.21,10,10,129000
30,198,31.21,1,10,129000
31,158,92.17,4,11,285000
32,372,40.07,1,2,81000
33,370,40.0,3,3,82000
34,52,80.3,3,7,238000
35,2,26.14,4,10,138000
36,179,18.98,1,2,62500
37,260,70.04,2,3,146000
38,2,50.0,8,15,173000
39,2,50.8,4,11,179000
40,611,47.09,2,2,70000
41,153,31.5,2,7,121000
42,5,25.75,3,5,117500
43,135,30.88,3,4,101000
44,30,14.5,1,3,60000
45,318,61.0,4,4,118000
46,125,41.31,7,9,145000
47,6,29.43,2,5,96500
48,169,43.69,11,13,237000
49,377,17.04,1,2,45000
50,501,25.05,4,8,70000
51,413,18.63,2,2,52000
52,125,50.51,1,3,151000
53,64,26.0,7,10,86500
54,365,93.15,2,3,238000
55,617,35.77,6,6,135000
56,644,32.46,1,4,95000
57,0,27.13,11,14,141000
58,48,26.04,13,15,127000
59,293,53.69,9,12,173000
60,49,25.52,3,6,89500
61,209,35.49,3,3,119000
62,178,25.43,4,5,101000
63,103,23.68,4,11,95000
64,352,26.0,3,3,63000
65,374,35.68,4,5,84000
66,329,30.85,10,11,105000
67,297,40.0,3,4,125000
68,11,25.21,3,4,90000
69,0,42.42,5,10,217000
70,9,10.12,2,2,68000
71,0,34.72,2,3,111000
72,310,16.64,1,2,47000
73,365,22.07,2,5,58000
74,375,45.45,1,3,85000
75,745,9.08,2,2,31000
76,304,66.61,2,4,116000
77,361,44.49,2,3,122000
78,2,16.28,3,4,72000
79,0,25.83,1,4,102000
80,174,34.0,4,5,120000
81,393,22.8,2,3,62000
82,475,30.0,3,4,63000
83,438,14.0,1,2,41000
84,90,60.73,2,2,162000
85,140,29.51,4,8,163000
86,1,25.8,9,12,112000
87,222,30.15,2,5,98000
88,589,4.86,1,3,48000
89,424,20.0,2,3,60000
90,189,24.29,7,11,88000
91,277,27.0,3,4,80000
92,415,19.12,3,3,73000
93,354,36.0,2,6,120000
94,42,26.86,2,2,80000
95,23,16.06,2,3,74000
96,193,14.07,1,2,49000
97,63,40.55,5,8,118000
98,214,28.11,10,11,124000
99,392,59.33,6,15,127000
100,65,68.83,3,3,150500
101,627,14.1,2,2,50000
102,312,53.48,5,7,88000
103,0,41.33,1,4,182000
104,3,25.44,8,11,95000
105,166,31.68,2,3,78000
106,332,35.0,1,2,103000
107,2,25.65,2,5,105000
108,167,44.76,4,14,183000
109,356,30.0,2,4,87000
110,632,23.05,2,2,75000
111,79,42.37,2,2,125000
112,0,33.88,1,2,108000
113,239,24.84,1,3,81000
114,549,33.0,3,5,83000
115,360,45.0,3,5,150000
116,30,20.96,2,2,75000
117,457,11.6,4,4,44700
118,341,40.56,2,2,83000
119,67,35.26,5,9,124000
120,0,18.88,3,4,90000
121,187,41.93,8,19,180000
122,18,27.75,5,10,104000
123,365,18.98,8,8,58000
124,124,29.5,4,4,91000
125,45,34.32,12,19,171000
126,3,17.82,1,3,77000
127,35,46.44,5,15,228000
128,408,22.26,3,3,58000
129,35,34.0,3,4,79000
130,394,60.6,2,5,118000
131,593,25.31,4,4,78000
132,165,20.52,3,15,86500
