id,age,area,floor,max_floor,y,room_num,L,D,K,S,north
1,117,20.01,1,12,75000,1,0,0,1,0,0
2,538,16.5,5,10,76000,1,0,0,0,0,0
3,102,22.05,12,15,110000,1,0,0,1,0,0
4,352,60.48,3,4,150000,2,1,1,1,0,0
5,379,39.66,1,2,74000,2,0,1,1,0,0
6,90,50.8,6,12,160000,2,1,1,1,0,0
7,125,23.82,6,8,78500,1,0,0,1,0,0
8,172,32.32,1,6,115000,1,0,0,1,0,0
9,536,65.59,4,9,184327,2,0,1,1,0,1
10,465,30.3,2,3,76000,1,0,1,1,0,0
11,48,25.81,1,6,105000,1,0,0,1,0,0
12,712,23.1,1,2,53000,1,0,0,1,0,0
13,0,37.53,6,10,200000,1,1,1,1,0,1
14,490,41.5,3,3,107000,2,0,1,1,0,0
15,281,17.73,4,11,63000,1,0,0,1,0,0
16,357,32.84,4,5,92000,1,0,1,1,0,0
17,60,25.93,2,5,87000,1,0,0,1,0,0
18,113,25.82,1,2,68000,1,0,0,1,0,0
19,72,70.82,5,11,310000,3,1,1,1,0,0
20,444,57.71,8,12,165000,3,0,1,1,0,0
21,343,59.62,2,2,130000,2,1,1,1,0,0
22,287,21.06,7,10,84000,1,0,0,1,0,0
23,364,81.2,10,42,346000,2,1,1,1,0,1
24,89,22.98,4,5,80000,1,0,0,1,0,0
25,631,15.48,2,4,45000,1,0,0,0,0,1
26,24,11.7,1,2,62000,1,0,0,0,0,0
27,21,41.6,12,12,186000,1,1,1,1,0,0
28,341,14.0,2,2,47000,1,0,0,1,0,0
29,100,46.21,10,10,129000,1,1,1,1,0,0
30,198,31.21,1,10,129000,1,0,0,0,0,0
31,158,92.17,4,11,285000,2,1,1,1,0,0
32,372,40.07,1,2,81000,2,0,1,1,0,0
33,370,40.0,3,3,82000,2,0,1,1,0,0
34,52,80.3,3,7,238000,3,1,1,1,0,0
35,2,26.14,4,10,138000,1,0,0,1,0,1
36,179,18.98,1,2,62500,1,0,0,1,0,0
37,260,70.04,2,3,146000,3,1,1,1,0,0
38,2,50.0,8,15,173000,1,1,1,1,1,0
39,2,50.8,4,11,179000,2,1,1,1,0,0
40,611,47.09,2,2,70000,4,0,0,1,0,0
41,153,31.5,2,7,121000,1,0,0,0,0,0
42,5,25.75,3,5,117500,1,0,0,1,0,0
43,135,30.88,3,4,101000,1,0,0,0,0,0
44,30,14.5,1,3,60000,1,0,0,0,0,0
45,318,61.0,4,4,118000,3,1,1,1,0,0
